Tau,SF,+-
1599.12,9.86733e-23,5.56488e-24
1601.75,9.59591e-23,5.63343e-24
1604.37,9.34456e-23,5.60855e-24
1606.99,9.90682e-23,5.62587e-24
1609.61,9.56451e-23,5.78007e-24
1612.23,9.51265e-23,6.06912e-24
1614.85,9.95732e-23,5.99081e-24
1617.48,9.53315e-23,6.04856e-24
1620.1,8.82195e-23,5.9658e-24
1622.72,8.55922e-23,5.46172e-24
1625.34,8.56008e-23,5.48473e-24
1627.96,8.31576e-23,5.62371e-24
1630.58,8.35011e-23,5.14047e-24
1633.2,8.59778e-23,4.97975e-24
1635.83,8.2373e-23,5.48278e-24
1638.45,8.1515e-23,5.26397e-24
1641.07,8.67977e-23,5.09966e-24
1643.69,8.64101e-23,5.50677e-24
1646.31,8.28867e-23,5.60853e-24
1648.93,8.76787e-23,5.36783e-24
1651.56,7.98075e-23,4.93704e-24
1654.18,7.8908e-23,5.06402e-24
1656.8,8.60225e-23,5.49856e-24
1659.42,8.08104e-23,6.01475e-24
1662.04,7.42851e-23,5.49315e-24
1664.66,7.36079e-23,4.86421e-24
1667.28,7.72075e-23,5.02753e-24
1669.91,8.29022e-23,5.51274e-24
1672.53,7.80636e-23,4.92544e-24
1675.15,7.88658e-23,4.80041e-24
1677.77,7.95259e-23,5.57438e-24
1680.39,7.5562e-23,5.10675e-24
1683.01,8.03279e-23,5.21149e-24
1685.63,7.69401e-23,5.59055e-24
1688.26,7.06486e-23,5.54694e-24
1690.88,7.48568e-23,5.19186e-24
1693.5,7.46916e-23,5.03827e-24
1696.12,6.92168e-23,4.64436e-24
1698.74,7.52204e-23,5.20235e-24
1701.36,7.02035e-23,4.55021e-24
1703.99,6.78774e-23,5.15296e-24
1706.61,6.7294e-23,4.3196e-24
1709.23,7.35749e-23,4.61465e-24
1711.85,7.31601e-23,4.93809e-24
1714.47,7.16094e-23,4.78699e-24
1717.09,6.23032e-23,4.17377e-24
1719.71,6.42022e-23,5.0719e-24
1722.34,6.38451e-23,4.2176e-24
1724.96,7.28588e-23,4.82791e-24
1727.58,6.96215e-23,4.95378e-24
1730.2,6.56678e-23,5.26341e-24
1732.82,7.27388e-23,5.05565e-24
1735.44,6.82166e-23,4.71743e-24
1738.07,7.30008e-23,5.16152e-24
1740.69,7.37357e-23,4.58505e-24
1743.31,7.48768e-23,4.5138e-24
1745.93,7.16172e-23,4.90964e-24
1748.55,6.89326e-23,4.65199e-24
1751.17,7.04125e-23,4.84943e-24
1753.79,6.69455e-23,4.63396e-24
1756.42,6.47186e-23,4.1491e-24
1759.04,6.61548e-23,4.33537e-24
1761.66,6.52025e-23,4.52491e-24
1764.28,6.52966e-23,4.48161e-24
1766.9,6.61893e-23,4.24446e-24
1769.52,6.7411e-23,4.22674e-24
1772.14,7.58432e-23,5.02272e-24
1774.77,7.70323e-23,5.07881e-24
1777.39,7.27972e-23,4.33479e-24
1780.01,7.20925e-23,4.74441e-24
1782.63,7.61536e-23,4.99246e-24
1785.25,7.2984e-23,5.03392e-24
