Tau,SF,+-
1847.23,2.05076e-21,1.39775e-22
1850.19,1.98411e-21,1.45547e-22
1853.16,1.94872e-21,1.38418e-22
1856.12,1.85483e-21,1.21867e-22
1859.09,1.82939e-21,1.25826e-22
1862.05,1.71845e-21,1.23613e-22
1865.02,1.68514e-21,1.14599e-22
1867.98,1.7117e-21,1.13786e-22
1870.95,1.68989e-21,1.14678e-22
1873.91,1.69613e-21,1.20116e-22
1876.88,1.69097e-21,1.11018e-22
1879.84,1.72691e-21,1.08082e-22
1882.81,1.65851e-21,1.11539e-22
1885.77,1.57618e-21,1.05887e-22
1888.74,1.7118e-21,1.05104e-22
1891.7,1.74261e-21,9.72411e-23
1894.67,1.74206e-21,1.0068e-22
1897.63,1.91335e-21,1.00103e-22
1900.6,1.85042e-21,9.46193e-23
1903.56,1.77467e-21,9.64674e-23
1906.53,1.61259e-21,9.25851e-23
1909.49,1.63442e-21,9.13748e-23
1912.46,1.73923e-21,1.06875e-22
1915.42,1.79058e-21,1.06676e-22
1918.39,2.00757e-21,1.15706e-22
1921.35,2.14669e-21,1.14425e-22
1924.32,2.27077e-21,1.24167e-22
1927.28,2.24145e-21,1.33014e-22
1930.25,2.0135e-21,1.13718e-22
1933.21,1.92089e-21,1.08787e-22
1936.18,1.92963e-21,1.1345e-22
1939.14,1.8335e-21,1.08921e-22
1942.11,1.79571e-21,1.08067e-22
1945.07,1.82312e-21,1.08482e-22
1948.04,1.75571e-21,1.1391e-22
1951,1.69823e-21,1.16036e-22
1953.97,1.84437e-21,1.18662e-22
1956.93,1.87056e-21,1.20061e-22
1959.9,1.86559e-21,1.24437e-22
1962.86,1.83944e-21,1.20559e-22
1965.83,2.01085e-21,1.24889e-22
1968.79,1.99189e-21,1.21648e-22
1971.76,2.00226e-21,1.27388e-22
1974.72,2.14449e-21,1.32996e-22
1977.69,2.07001e-21,1.23176e-22
1980.65,1.99079e-21,1.31778e-22
1983.62,1.98909e-21,1.26642e-22
1986.58,2.10113e-21,1.22737e-22
1989.55,2.1868e-21,1.3509e-22
1992.51,2.07697e-21,1.33991e-22
1995.48,2.09391e-21,1.29741e-22
1998.44,2.27731e-21,1.38435e-22
2001.41,2.15674e-21,1.33839e-22
2004.37,2.07821e-21,1.32917e-22
2007.34,2.21937e-21,1.38243e-22
2010.3,2.30967e-21,1.47595e-22
2013.27,2.26351e-21,1.53656e-22
