Tau,SF,+-
1560.97,3.67079e-22,2.01405e-23
1563.67,3.52693e-22,2.032e-23
1566.37,3.88661e-22,2.44725e-23
1569.06,3.93661e-22,2.12993e-23
1571.76,3.61356e-22,2.00281e-23
1574.45,3.82367e-22,2.46652e-23
1577.15,3.69757e-22,2.44902e-23
1579.85,3.77914e-22,2.73862e-23
1582.54,3.71854e-22,2.20769e-23
1585.24,3.83307e-22,2.33042e-23
1587.93,3.75326e-22,2.71454e-23
1590.63,3.69066e-22,2.24823e-23
1593.33,3.73589e-22,2.06182e-23
1596.02,4.00612e-22,2.2868e-23
1598.72,3.66102e-22,2.05024e-23
1601.41,3.35507e-22,1.94363e-23
1604.11,3.55172e-22,2.07053e-23
1606.81,3.39703e-22,1.98464e-23
1609.5,3.63468e-22,2.32046e-23
1612.2,3.49654e-22,1.97841e-23
1614.89,3.60825e-22,2.10373e-23
1617.59,3.50049e-22,2.17753e-23
1620.29,3.4869e-22,2.02216e-23
1622.98,3.87615e-22,2.28508e-23
1625.68,3.90567e-22,2.40836e-23
1628.37,3.74409e-22,2.14261e-23
1631.07,3.68421e-22,2.22412e-23
1633.77,3.78208e-22,2.33918e-23
1636.46,3.723e-22,2.23094e-23
1639.16,3.74018e-22,2.05026e-23
1641.85,3.95037e-22,2.4214e-23
1644.55,3.71003e-22,2.10491e-23
1647.25,3.77508e-22,2.25877e-23
1649.94,3.84565e-22,2.39058e-23
1652.64,3.82121e-22,2.23825e-23
1655.33,3.7525e-22,2.24144e-23
1658.03,3.70433e-22,2.43344e-23
1660.73,3.76192e-22,2.21886e-23
1663.42,3.59635e-22,2.31028e-23
1666.12,3.74487e-22,2.33084e-23
1668.81,3.72868e-22,2.23267e-23
1671.51,3.67086e-22,2.21528e-23
1674.21,3.61579e-22,2.25065e-23
1676.9,3.68077e-22,2.19e-23
1679.6,3.62856e-22,2.13445e-23
1682.29,3.64835e-22,2.12188e-23
1684.99,3.64243e-22,2.09174e-23
1687.69,3.63021e-22,2.12942e-23
1690.38,3.48999e-22,1.96996e-23
1693.08,3.98504e-22,2.23502e-23
1695.77,3.62229e-22,2.08205e-23
1698.47,3.49141e-22,1.98185e-23
1701.17,3.86571e-22,2.31552e-23
1703.86,3.52692e-22,2.05194e-23
1706.56,3.61098e-22,2.2535e-23
1709.25,3.81574e-22,2.28238e-23
